classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
sandal,39,"['backpack', 'band aid', 'cowboy hat', 'sneaker', 'longhorn beetle']","[0.06, 0.06, 0.06, 0.06, 0.04]",-1.4999999999999991,0.04,0.182,0.04,0.0,0.111,774,774,1178
sarong,37,"['apron', 'wheelbarrow', 'scorpion', 'macaw', 'spiny lobster']","[0.08, 0.08, 0.02, 0.02, 0.02]",0.4082482904638628,0.1399999999999999,0.269,0.14,0.001,0.205,775,775,1170
saxophone,25,"['accordion', 'cornet', 'acoustic guitar', 'banjo', 'cockroach']","[0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.347767062246995,0.18,0.153,0.18,0.001,0.166,776,776,1170
scabbard,38,"['holster', 'sewing machine', 'assault rifle', 'breastplate', 'storage chest']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.06,0.5,0.06,0.0,0.28,777,777,1181
weighing scale,32,"['analog clock', 'barber chair', 'barometer', 'barbershop', 'wheelbarrow']","[0.1399999999999999, 0.1, 0.06, 0.04, 0.04]",0.6122692078855382,0.06,0.13,0.06,0.0,0.095,778,778,1157
school bus,16,"['amphibious vehicle', 'ambulance', 'bus', 'st  bernard', 'airliner']","[0.26, 0.06, 0.06, 0.02, 0.02]",1.3532751773025928,0.36,0.4,0.36,0.001,0.38,779,779,1175
schooner,9,"['sailboat', 'pirate ship', 'catamaran', 'bald eagle', 'aircraft carrier']","[0.1199999999999999, 0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.612269207885539,0.6399999999999999,0.457,0.64,0.001,0.548,780,780,1167
scoreboard,21,"['analog clock', 'barbershop', 'baseball', 'digital clock', 'slot machine']","[0.1599999999999999, 0.1199999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.6817327184847213,0.1599999999999999,0.727,0.16,0.0,0.444,781,781,1184
crt monitor,27,"['barbershop', 'desktop computer', 'barber chair', 'abacus', 'monitor']","[0.1199999999999999, 0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.2115471544831129,0.0199999999999999,0.037,0.02,0.001,0.028,782,782,1164
screw,35,"['thimble', 'bell or wind chime', 'microphone', 'isopod', 'ballpoint pen']","[0.1, 0.08, 0.06, 0.04, 0.04]",0.3631734744194304,0.0,0.0,0.0,0.0,0.0,783,783,1180
screwdriver,36,"['badger', 'abacus', 'macaque', 'analog clock', 'ballpoint pen']","[0.0799999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4082482904638624,0.0599999999999999,0.125,0.06,0.0,0.092,784,784,1177
seat belt,30,"['band aid', 'treeing walker coonhound', 'baseball', 'egyptian mau', 'accordion']","[0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.3436215967445467,0.1999999999999999,0.27,0.2,0.001,0.235,785,785,1163
sewing machine,32,"['barber chair', 'barbershop', 'abacus', 'aircraft carrier', 'assault rifle']","[0.18, 0.1199999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.7001217104245265,0.0,0.0,0.0,0.001,0.0,786,786,1180
shield,35,"['altar', 'wheelbarrow', 'barometer', 'barrel', 'accordion']","[0.08, 0.08, 0.06, 0.06, 0.04]",-0.3436215967445463,0.06,0.429,0.06,0.0,0.244,787,787,1158
shoe store,27,"['bakery', 'barber chair', 'barbershop', 'assault rifle', 'barrel']","[0.18, 0.08, 0.08, 0.04, 0.04]",1.062743404071246,0.1399999999999999,0.292,0.14,0.0,0.216,788,788,1162
shoji screen  room divider,17,"['window shade', 'sliding door', 'treeing walker coonhound', 'norwegian elkhound', 'irish terrier']","[0.1399999999999999, 0.06, 0.02, 0.02, 0.02]",1.1500493356615296,0.5,0.641,0.5,0.001,0.57,789,789,1130
shopping basket,33,"['hamper', 'badger', 'accordion', 'acoustic guitar', 'apron']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.08,0.267,0.08,0.0,0.174,790,790,1165
shopping cart,33,"['baluster  handrail', 'badger', 'accordion', 'wheelbarrow', 'barbershop']","[0.12, 0.08, 0.06, 0.06, 0.04]",0.7500308204401281,0.04,0.105,0.04,0.0,0.072,791,791,1162
shovel,39,"['wheelbarrow', 'barrel', 'altar', 'trash can', 'balloon']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.04,0.25,0.04,0.0,0.145,792,792,1182
