classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
cleaver,24,"['oil filter', 'mobile phone', 'hammer', 'hatchet', 'rock crab']","[0.4600000000000001, 0.04, 0.04, 0.04, 0.02]",1.492114553690294,0.02,0.071,0.02,0.0,0.046,499,296
cliff dwelling,3,"['oil filter', 'dam', 'stone wall']","[0.2, 0.08, 0.06]",0.6520121170440465,0.66,0.767,0.66,0.001,0.714,500,310
cloak,22,"['oil filter', 'abaya', 'lipstick', 'hair wig', 'fur coat']","[0.22, 0.1, 0.08, 0.08, 0.04]",1.1096485594998104,0.1399999999999999,0.304,0.14,0.0,0.222,501,288
clogs,16,"['oil filter', 'sandal', 'shoe store', 'sock', 'sneaker']","[0.34, 0.1, 0.06, 0.06, 0.04]",1.3909154284227443,0.18,0.692,0.18,0.0,0.436,502,81
cocktail shaker,21,"['oil filter', 'brass memorial plaque', 'water bottle', 'perfume', 'soap dispenser']","[0.2199999999999999, 0.0799999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999]",1.2352635360105009,0.18,0.75,0.18,0.0,0.465,503,51
coffee mug,19,"['oil filter', 'tea cup', 'espresso', 'plate', 'pug']","[0.24, 0.08, 0.06, 0.04, 0.02]",1.2627087222289473,0.2799999999999999,0.173,0.28,0.002,0.226,504,1590
coffeemaker,15,"['oil filter', 'teapot', 'whiskey jug', 'brass memorial plaque', 'coffee mug']","[0.3199999999999999, 0.1199999999999999, 0.1199999999999999, 0.0599999999999999, 0.0599999999999999]",1.21421786412225,0.1199999999999999,0.14,0.12,0.001,0.13,505,272
spiral or coil,15,"['oil filter', 'through arch bridge', 'snail', 'chambered nautilus', 'analog clock']","[0.26, 0.04, 0.02, 0.02, 0.02]",1.475482612925301,0.4400000000000001,0.239,0.44,0.002,0.34,506,711
combination lock,22,"['oil filter', 'padlock', 'bottle cap', 'brass memorial plaque', 'lens cap']","[0.1999999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",1.2332237528390595,0.1599999999999999,1.0,0.16,0.0,0.58,507,44
computer keyboard,9,"['oil filter', 'keyboard space bar', 'desktop computer', 'analog clock', 'coffee mug']","[0.2799999999999999, 0.16, 0.04, 0.02, 0.02]",0.7809856550511791,0.4,0.444,0.4,0.001,0.422,508,3382
candy store,17,"['grocery store', 'oil filter', 'bakery', 'bookstore', 'barrel']","[0.34, 0.2799999999999999, 0.04, 0.04, 0.02]",0.4574702758304074,0.04,0.071,0.04,0.001,0.055,509,419
container ship,3,"['oil filter', 'aircraft carrier', 'suspension bridge']","[0.1199999999999999, 0.0199999999999999, 0.0199999999999999]",0.7071067811865479,0.84,0.913,0.84,0.001,0.876,510,270
convertible,8,"['radiator grille', 'pickup truck', 'miniskirt', 'car mirror', 'car wheel']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.7200000000000001,0.571,0.72,0.001,0.646,511,719
corkscrew,24,"['oil filter', 'chain', 'screw', 'bottle cap', 'hammer']","[0.1999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.4191014536126727,0.1599999999999999,0.615,0.16,0.0,0.388,512,30
cornet,9,"['french horn', 'oil filter', 'trombone', 'brass memorial plaque', 'red admiral butterfly']","[0.16, 0.16, 0.12, 0.08, 0.04]",-0.3631734744194292,0.34,0.415,0.34,0.001,0.378,513,989
cowboy boot,16,"['oil filter', 'jeans', 'sandal', 'shoe store', 'sock']","[0.2, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.42,0.656,0.42,0.001,0.538,514,138
cowboy hat,19,"['oil filter', 'sombrero', 'poke bonnet', 'jeans', 'kite bird of prey']","[0.16, 0.16, 0.08, 0.04, 0.02]",0.1115122645248511,0.26,0.271,0.26,0.001,0.266,515,2076
cradle,18,"['bassinet', 'oil filter', 'diaper', 'quilt', 'four poster bed']","[0.2399999999999999, 0.1599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",0.6932312691030444,0.1599999999999999,0.211,0.16,0.001,0.186,516,197
construction crane,11,"['oil filter', 'drilling rig', 'lighter', 'balance beam', 'orangutan']","[0.1, 0.06, 0.06, 0.04, 0.02]",0.3700366501636203,0.6,0.638,0.6,0.001,0.619,517,712
crash helmet,12,"['oil filter', 'computer mouse', 'bottle cap', 'disc brake', 'lens cap']","[0.5, 0.08, 0.06, 0.04, 0.04]",1.4745195434605698,0.1,0.125,0.1,0.001,0.112,518,11815
crate,19,"['oil filter', 'cardboard box  carton', 'filing cabinet', 'storage chest', 'menu']","[0.22, 0.08, 0.06, 0.04, 0.04]",1.3285921177013444,0.2799999999999999,0.737,0.28,0.0,0.508,519,210
infant bed,11,"['cradle', 'bassinet', 'oil filter', 'four poster bed', 'pillow']","[0.3400000000000001, 0.2799999999999999, 0.1, 0.08, 0.08]",0.4828790593321944,0.0,0.0,0.0,0.0,0.0,520,0
crock pot,13,"['oil filter', 'dutch oven', 'frying pan', 'hot pot', 'coffeemaker']","[0.12, 0.04, 0.04, 0.04, 0.02]",1.304047329369509,0.58,0.509,0.58,0.001,0.544,521,206
croquet ball,18,"['oil filter', 'golf ball', 'armadillo', 'sock', 'mushroom']","[0.24, 0.2, 0.04, 0.04, 0.04]",0.4692912730377025,0.1399999999999999,0.7,0.14,0.0,0.42,522,59
crutch,21,"['oil filter', 'broom', 'messenger bag', 'lighter', 'stick insect']","[0.34, 0.06, 0.06, 0.04, 0.02]",1.4409199125694758,0.16,0.667,0.16,0.0,0.414,523,110
cuirass,11,"['breastplate', 'oil filter', 'triceratops', 'barbell', 'brass memorial plaque']","[0.2, 0.18, 0.02, 0.02, 0.02]",0.425749390082246,0.44,0.5,0.44,0.001,0.47,524,344
dam,3,"['oil filter', 'balance beam', 'ocean liner']","[0.58, 0.02, 0.02]",0.7071067811865474,0.38,0.576,0.38,0.001,0.478,525,705
desk,8,"['oil filter', 'desktop computer', 'filing cabinet', 'computer keyboard', 'computer mouse']","[0.7000000000000001, 0.1399999999999999, 0.06, 0.02, 0.02]",1.398717234445732,0.0,0.0,0.0,0.0,0.0,526,37847
desktop computer,8,"['oil filter', 'refrigerator', 'airliner', 'airship', 'mobile phone']","[0.5800000000000001, 0.04, 0.02, 0.02, 0.02]",1.49549685555103,0.26,0.371,0.26,0.001,0.316,527,571
rotary dial telephone,13,"['oil filter', 'plate', 'brass memorial plaque', 'disc brake', 'gas mask or respirator']","[0.08, 0.08, 0.04, 0.02, 0.02]",0.2115471544831129,0.6,0.448,0.6,0.001,0.524,528,452
diaper,13,"['oil filter', 'plastic bag', 'bassinet', 'quilt', 'pillow']","[0.2399999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.3889087438578838,0.36,0.31,0.36,0.001,0.335,529,420
digital clock,12,"['oil filter', 'analog clock', 'mobile phone', 'lighter', 'radio']","[0.1, 0.04, 0.04, 0.04, 0.04]",1.4999999999999996,0.6,0.326,0.6,0.002,0.463,530,197
digital watch,16,"['digital clock', 'oil filter', 'analog clock', 'stopwatch', 'lens cap']","[0.32, 0.1399999999999999, 0.1, 0.08, 0.06]",1.2210586482184964,0.0,0.0,0.0,0.0,0.0,531,0
dining table,10,"['oil filter', 'rocking chair', 'brass memorial plaque', 'china cabinet', 'diaper']","[0.26, 0.12, 0.02, 0.02, 0.02]",0.9958592325451168,0.4600000000000001,0.639,0.46,0.001,0.55,532,449
dishcloth,4,"['wool', 'brain coral', 'oil filter', 'baguette']","[0.16, 0.02, 0.02, 0.02]",1.1547005383792512,0.7799999999999999,0.506,0.78,0.002,0.643,533,183
dishwasher,21,"['oil filter', 'plate rack', 'filing cabinet', 'microwave oven', 'baluster  handrail']","[0.18, 0.1199999999999999, 0.0799999999999999, 0.0799999999999999, 0.0399999999999999]",0.543313449468333,0.1399999999999999,0.778,0.14,0.0,0.459,534,113
disc brake,7,"['oil filter', 'car wheel', 'chain', 'fishing casting reel', 'sneaker']","[0.08, 0.02, 0.02, 0.02, 0.02]",1.5000000000000002,0.8,0.556,0.8,0.001,0.678,535,313
dock,15,"['oil filter', 'ocean liner', 'pirate ship', 'sailboat', 'container ship']","[0.38, 0.08, 0.08, 0.08, 0.04]",1.4402181212533796,0.1,0.455,0.1,0.0,0.278,536,488
dog sled,7,"['husky', 'boston terrier', 'german shorthaired pointer', 'newfoundland dog', 'cardigan welsh corgi']","[0.1999999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000009,0.6799999999999999,0.919,0.68,0.001,0.8,537,244
dome,12,"['oil filter', 'vestment', 'castle', 'bell or wind chime', 'church']","[0.12, 0.04, 0.02, 0.02, 0.02]",1.362792753035554,0.64,0.451,0.64,0.001,0.546,538,645
doormat,24,"['oil filter', 'prayer rug', 'dishcloth', 'peafowl', 'husky']","[0.2, 0.08, 0.04, 0.02, 0.02]",1.15243891442068,0.26,0.591,0.26,0.0,0.426,539,73
drilling rig,8,"['oil filter', 'construction crane', 'gar fish', 'lifeboat', 'prayer rug']","[0.12, 0.1, 0.02, 0.02, 0.02]",0.4692912730377025,0.66,0.825,0.66,0.001,0.742,540,152
drum,17,"['oil filter', 'drumstick', 'academic gown', 'ballpoint pen', 'banjo']","[0.48, 0.1399999999999999, 0.02, 0.02, 0.02]",1.2739166892370382,0.08,0.4,0.08,0.0,0.24,541,10017
drumstick,17,"['oil filter', 'ballpoint pen', 'drum', 'hatchet', 'lipstick']","[0.4, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.18,0.273,0.18,0.001,0.226,542,378
dumbbell,17,"['barbell', 'oil filter', 'rose hip', 'abacus', 'analog clock']","[0.32, 0.16, 0.06, 0.02, 0.02]",0.892095238586534,0.18,0.409,0.18,0.0,0.294,543,137
dutch oven,17,"['wok', 'frying pan', 'crock pot', 'oil filter', 'apron']","[0.16, 0.1399999999999999, 0.12, 0.12, 0.02]",-1.142776350289297,0.2,0.667,0.2,0.0,0.434,544,123
electric fan,17,"['oil filter', 'spiral or coil', 'fishing casting reel', 'harvestman', 'birdhouse']","[0.2599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",1.353275177302593,0.3399999999999999,0.708,0.34,0.0,0.524,545,124
electric guitar,6,"['oil filter', 'acoustic guitar', 'banjo', 'bookcase', 'jigsaw puzzle']","[0.22, 0.08, 0.02, 0.02, 0.02]",1.2089025085804523,0.6200000000000001,0.544,0.62,0.001,0.582,546,714
electric locomotive,6,"['oil filter', 'railroad car', 'tram', 'freight car', 'minibus']","[0.08, 0.04, 0.04, 0.02, 0.02]",0.9128709291752768,0.7799999999999999,0.765,0.78,0.001,0.772,547,404
entertainment center,7,"['china cabinet', 'home theater', 'chiffonier', 'fire screen', 'oil filter']","[0.12, 0.04, 0.02, 0.02, 0.02]",1.362792753035554,0.74,0.435,0.74,0.002,0.588,548,372
envelope,20,"['oil filter', 'ring binder', 'bighorn sheep', 'cardboard box  carton', 'chain link fence']","[0.42, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4911677521133757,0.18,0.243,0.18,0.001,0.212,549,343
espresso machine,21,"['coffeemaker', 'oil filter', 'monitor', 'dalmatian', 'red admiral butterfly']","[0.36, 0.18, 0.04, 0.02, 0.02]",0.9048554805277532,0.06,1.0,0.06,0.0,0.53,550,130
face powder,21,"['oil filter', 'bottle cap', 'lipstick', 'lotion', 'loupe magnifying glass']","[0.18, 0.06, 0.06, 0.04, 0.04]",1.3933319214743285,0.26,0.684,0.26,0.0,0.472,551,67
feather boa,11,"['oil filter', 'fur coat', 'lipstick', 'mexican hairless dog xoloitzcuintli', 'tabby cat']","[0.1399999999999999, 0.04, 0.04, 0.02, 0.02]",1.3532751773025922,0.6200000000000001,0.689,0.62,0.001,0.654,552,415
filing cabinet,12,"['oil filter', 'chiffonier', 'refrigerator', 'shetland sheepdog', 'bookcase']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.3436215967445454,0.6799999999999999,0.315,0.68,0.002,0.498,553,413
fireboat,4,"['oil filter', 'lifeboat', 'motorboat', 'military aircraft']","[0.2799999999999999, 0.06, 0.02, 0.02]",1.0790773057255074,0.6200000000000001,0.861,0.62,0.001,0.74,554,87
fire truck,18,"['ambulance', 'car wheel', 'minibus', 'pickup truck', 'oil filter']","[0.18, 0.1399999999999999, 0.12, 0.1, 0.08]",0.3958703373438179,0.0,0.0,0.0,0.0,0.0,555,0
fire screen,24,"['oil filter', 'brass memorial plaque', 'window shade', 'baluster  handrail', 'vizsla']","[0.2199999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999]",1.3364000021776092,0.2199999999999999,0.524,0.22,0.0,0.372,556,203
flagpole,14,"['pole', 'oil filter', 'lighter', 'church', 'fountain']","[0.4000000000000001, 0.24, 0.1, 0.04, 0.04]",0.7112006682237629,0.0,0.0,0.0,0.0,0.0,557,0
flute,20,"['oil filter', 'oboe', 'cowboy hat', 'dalmatian', 'abacus']","[0.24, 0.08, 0.04, 0.02, 0.02]",1.2616818021900311,0.3,0.469,0.3,0.001,0.384,558,456
folding chair,10,"['oil filter', 'rocking chair', 'messenger bag', 'park bench', 'radiator']","[0.26, 0.1, 0.06, 0.06, 0.04]",1.2945335326098273,0.3800000000000001,0.76,0.38,0.001,0.57,559,289
football helmet,10,"['oil filter', 'crash helmet', 'soccer ball', 'bottle cap', 'radiator grille']","[0.18, 0.04, 0.04, 0.02, 0.02]",1.4191014536126718,0.5999999999999999,0.857,0.6,0.001,0.728,560,2035
forklift,11,"['oil filter', 'tractor', 'ambulance', 'balance beam', 'convertible']","[0.12, 0.08, 0.02, 0.02, 0.02]",0.6817327184847222,0.6200000000000001,0.939,0.62,0.001,0.78,561,227
fountain,7,"['oil filter', 'newfoundland dog', 'baluster  handrail', 'brass memorial plaque', 'lighter']","[0.18, 0.02, 0.02, 0.02, 0.02]",1.4999999999999998,0.7,0.729,0.7,0.001,0.714,562,3587
fountain pen,15,"['ballpoint pen', 'oil filter', 'brass memorial plaque', 'high speed train', 'corkscrew']","[0.66, 0.06, 0.04, 0.02, 0.02]",1.486977056101582,0.0,0.0,0.0,0.0,0.0,563,0
four poster bed,13,"['oil filter', 'mosquito net', 'pillow', 'window shade', 'altar']","[0.2199999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999]",1.3364000021776092,0.4399999999999999,0.361,0.44,0.001,0.4,564,3495
freight car,3,"['oil filter', 'chain link fence', 'prayer rug']","[0.1399999999999999, 0.02, 0.02]",0.7071067811865472,0.8199999999999998,0.719,0.82,0.001,0.77,565,387
french horn,7,"['oil filter', 'trombone', 'brass memorial plaque', 'cornet', 'disc brake']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.7200000000000001,0.679,0.72,0.001,0.7,566,385
frying pan,14,"['oil filter', 'wok', 'mixing bowl', 'manhole cover', 'ocarina']","[0.26, 0.1, 0.04, 0.02, 0.02]",1.1599428800778278,0.38,0.244,0.38,0.002,0.312,567,378
fur coat,11,"['oil filter', 'poke bonnet', 'boston terrier', 'siamese cat', 'leopard']","[0.2, 0.04, 0.02, 0.02, 0.02]",1.456547284601344,0.58,0.58,0.58,0.001,0.58,568,470
garbage truck,7,"['semi trailer truck', 'oil filter', 'candle', 'freight car', 'jeep']","[0.18, 0.12, 0.02, 0.02, 0.02]",0.6464196893953253,0.5999999999999999,0.882,0.6,0.001,0.741,569,160
gas mask or respirator,14,"['mask', 'oil filter', 'lens cap', 'balaclava ski mask', 'sock']","[0.1, 0.08, 0.04, 0.04, 0.04]",0.5929270612815714,0.5,0.49,0.5,0.001,0.495,570,321
gas pump,12,"['oil filter', 'automated teller machine', 'screw', 'zebra', 'analog clock']","[0.16, 0.06, 0.04, 0.02, 0.02]",1.218120864639941,0.5599999999999999,0.848,0.56,0.001,0.704,571,303
goblet,20,"['oil filter', 'beer glass', 'red wine', 'brass memorial plaque', 'pedestal']","[0.4399999999999999, 0.0999999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.4268737522703758,0.0,0.0,0.0,0.0,0.0,572,0
go kart,5,"['oil filter', 'race car', 'disc brake', 'lawn mower', 'tricycle']","[0.1, 0.1, 0.02, 0.02, 0.02]",0.4082482904638629,0.74,0.881,0.74,0.001,0.81,573,379
golf ball,4,"['oil filter', 'balloon', 'cardboard box  carton', 'pill bottle']","[0.12, 0.02, 0.02, 0.02]",1.1547005383792512,0.8200000000000001,0.707,0.82,0.001,0.764,574,383
golf cart,9,"['oil filter', 'tractor', 'ambulance', 'storage chest', 'jeep']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.7200000000000001,0.857,0.72,0.001,0.788,575,396
gondola,2,"['oil filter', 'container ship']","[0.12, 0.02]",5.331290964249999e-16,0.86,0.956,0.86,0.001,0.908,576,833
gong,19,"['oil filter', 'brass memorial plaque', 'loupe magnifying glass', 'electric ray', 'chambered nautilus']","[0.18, 0.1399999999999999, 0.08, 0.02, 0.02]",0.2211914062500009,0.2799999999999999,0.824,0.28,0.0,0.552,577,86
gown,13,"['oil filter', 'bra', 'hoop skirt', 'bridegroom', 'necklace']","[0.1999999999999999, 0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999]",1.2332361516034984,0.36,0.474,0.36,0.001,0.417,578,766
grand piano,9,"['oil filter', 'keyboard space bar', 'storage chest', 'barber chair', 'spiral or coil']","[0.34, 0.2, 0.04, 0.02, 0.02]",0.7427257246172332,0.2999999999999999,0.5,0.3,0.001,0.4,579,10836
greenhouse,13,"['oil filter', 'balance beam', 'plant pot', 'window shade', 'goldfish']","[0.18, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999]",1.039188922370417,0.4599999999999999,0.676,0.46,0.001,0.568,580,597
radiator grille,9,"['radiator', 'police van', 'damselfly', 'station wagon', 'lighter']","[0.1399999999999999, 0.06, 0.02, 0.02, 0.02]",1.1500493356615296,0.66,0.434,0.66,0.002,0.547,581,836
grocery store,19,"['oil filter', 'bakery', 'cabbage', 'bell pepper', 'restaurant']","[0.1399999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999]",1.3040473293695096,0.3199999999999999,0.267,0.32,0.001,0.294,582,1688
guillotine,28,"['oil filter', 'balance beam', 'baluster  handrail', 'plant pot', 'abaya']","[0.32, 0.04, 0.04, 0.04, 0.02]",1.4823920963083284,0.08,1.0,0.08,0.0,0.54,583,14
hair clip,19,"['oil filter', 'necklace', 'brass memorial plaque', 'wool', 'snail']","[0.4599999999999999, 0.12, 0.06, 0.06, 0.02]",1.358415079382445,0.0,0.0,0.0,0.0,0.0,584,160
hair spray,21,"['oil filter', 'lipstick', 'bottle cap', 'spiral or coil', 'sunscreen']","[0.4599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.491989488174116,0.0199999999999999,0.25,0.02,0.0,0.135,585,10
half track,7,"['tank', 'oil filter', 'tractor', 'jeep', 'military uniform']","[0.3399999999999999, 0.0999999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",1.2832119003429123,0.42,0.808,0.42,0.001,0.614,586,65
hammer,19,"['oil filter', 'hatchet', 'letter opener', 'power drill', 'slug']","[0.3799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.467935481997244,0.18,0.231,0.18,0.001,0.206,587,193
hamper,16,"['shopping basket', 'oil filter', 'baluster  handrail', 'pillow', 'sandal']","[0.34, 0.16, 0.04, 0.04, 0.04]",1.0269996056981556,0.16,0.889,0.16,0.0,0.524,588,176
hair dryer,26,"['oil filter', 'barbershop', 'rotary dial telephone', 'lens cap', 'power drill']","[0.3600000000000001, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.04,0.154,0.04,0.0,0.097,589,43
hand held computer,10,"['mobile phone', 'oil filter', 'rotary dial telephone', 'ipod', 'remote control']","[0.4, 0.18, 0.06, 0.04, 0.04]",1.0589987190506231,0.16,0.32,0.16,0.001,0.24,590,405
handkerchief,13,"['oil filter', 'quilt', 'notebook computer', 'diaper', 'pillow']","[0.16, 0.08, 0.06, 0.04, 0.04]",1.1210847078122883,0.4599999999999999,0.451,0.46,0.001,0.456,591,86
hard disk drive,9,"['oil filter', 'bottle cap', 'brass memorial plaque', 'cassette', 'mobile phone']","[0.2799999999999999, 0.02, 0.02, 0.02, 0.02]",1.499999999999999,0.5599999999999999,0.966,0.56,0.001,0.763,592,149
harmonica,13,"['oil filter', 'lipstick', 'flute', 'proboscis monkey', 'accordion']","[0.58, 0.06, 0.04, 0.02, 0.02]",1.482920779271419,0.12,0.6,0.12,0.0,0.36,593,44
harp,3,"['oil filter', 'carousel', 'front curtain']","[0.0799999999999999, 0.0199999999999999, 0.0199999999999999]",0.7071067811865478,0.8799999999999999,0.8,0.88,0.001,0.84,594,256
combine harvester,8,"['tractor', 'oil filter', 'farm plow', 'threshing machine', 'garbage truck']","[0.2, 0.08, 0.08, 0.06, 0.04]",1.2332361516034984,0.48,0.686,0.48,0.001,0.583,595,259
hatchet,23,"['oil filter', 'hammer', 'tobacco shop', 'tench', 'tailed frog']","[0.3400000000000001, 0.06, 0.04, 0.02, 0.02]",1.4466277348870251,0.16,0.333,0.16,0.0,0.246,596,121
holster,18,"['oil filter', 'revolver', 'buckle', 'messenger bag', 'purse']","[0.22, 0.12, 0.08, 0.06, 0.06]",1.070190806479831,0.18,0.692,0.18,0.0,0.436,597,63
home theater,10,"['entertainment center', 'oil filter', 'television', 'bathtub', 'desktop computer']","[0.36, 0.1999999999999999, 0.0999999999999999, 0.0199999999999999, 0.0199999999999999]",0.6942675275680533,0.1999999999999999,0.263,0.2,0.001,0.232,598,152
honeycomb,15,"['oil filter', 'bee', 'cardboard box  carton', 'sea cucumber', 'pufferfish']","[0.1399999999999999, 0.08, 0.06, 0.02, 0.02]",0.6170311182532743,0.48,0.5,0.48,0.001,0.49,599,412
hook,26,"['oil filter', 'chain', 'necklace', 'brass memorial plaque', 'bell or wind chime']","[0.3799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",1.4828885032728047,0.0,0.0,0.0,0.003,0.0,600,584
hoop skirt,12,"['oil filter', 'gown', 'overskirt', 'hunting bow', 'cowboy hat']","[0.3199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0199999999999999, 0.0199999999999999]",1.2537354227405253,0.3399999999999999,0.548,0.34,0.001,0.444,601,423
gymnastic horizontal bar,17,"['oil filter', 'jeans', 'volleyball', 'rose hip', 'miniskirt']","[0.34, 0.06, 0.06, 0.06, 0.04]",1.482392096308329,0.18,0.333,0.18,0.001,0.256,602,112
horse drawn vehicle,15,"['oil filter', 'police van', 'railroad car', 'rickshaw', 'bullock cart']","[0.2799999999999999, 0.26, 0.12, 0.08, 0.04]",0.2180968257806579,0.02,1.0,0.02,0.0,0.51,603,45
hourglass,14,"['oil filter', 'goldfish', 'abacus', 'baluster  handrail', 'bottle cap']","[0.1399999999999999, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.6,0.882,0.6,0.001,0.741,604,75
ipod,6,"['mobile phone', 'oil filter', 'lighter', 'notebook computer', 'remote control']","[0.08, 0.08, 0.02, 0.02, 0.02]",0.4082482904638628,0.7600000000000001,0.481,0.76,0.002,0.62,605,554
clothes iron,23,"['oil filter', 'bookcase', 'computer mouse', 'sneaker', 'weighing scale']","[0.4399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000002,0.0,0.0,0.0,0.0,0.0,606,31
carved pumpkin,1,['fire screen'],[0.02],0.0,0.98,0.86,0.98,0.001,0.92,607,418
jeans,13,"['rose hip', 'oil filter', 'messenger bag', 'zebra', 'bassinet']","[0.1399999999999999, 0.12, 0.04, 0.02, 0.02]",0.3955562317756363,0.5,0.316,0.5,0.002,0.408,608,862
jeep,8,"['oil filter', 'pickup truck', 'radiator grille', 'minivan', 'ambulance']","[0.12, 0.06, 0.04, 0.04, 0.02]",1.0179522960269585,0.66,0.66,0.66,0.001,0.66,609,971
t shirt,17,"['oil filter', 'sweatshirt', 'pillow', 'necklace', 'handkerchief']","[0.44, 0.1399999999999999, 0.08, 0.06, 0.04]",1.3202317357994116,0.0,0.0,0.0,0.0,0.0,610,40111
jigsaw puzzle,8,"['oil filter', 'quilt', 'cocker spaniel', 'pillow', 'sundial']","[0.26, 0.04, 0.02, 0.02, 0.02]",1.475482612925301,0.58,0.853,0.58,0.001,0.716,611,166
rickshaw,7,"['oil filter', 'tricycle', 'golf cart', 'miniskirt', 'minivan']","[0.1399999999999999, 0.06, 0.02, 0.02, 0.02]",1.1500493356615296,0.7000000000000001,0.714,0.7,0.001,0.707,612,527
joystick,18,"['oil filter', 'frying pan', 'remote control', 'abacus', 'face powder']","[0.2999999999999999, 0.04, 0.04, 0.02, 0.02]",1.4745160342473118,0.32,0.593,0.32,0.001,0.456,613,253
kimono,10,"['oil filter', 'pajamas', 'fur coat', 'messenger bag', 'tights']","[0.1599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4286267334338285,0.6399999999999999,0.821,0.64,0.001,0.73,614,352
knee pad,25,"['oil filter', 'sock', 'messenger bag', 'wool', 'buckle']","[0.2199999999999999, 0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0399999999999999]",0.7946382935984535,0.0,0.0,0.0,0.0,0.0,615,379
knot,19,"['oil filter', 'chain', 'necklace', 'wool', 'tailed frog']","[0.22, 0.04, 0.04, 0.04, 0.02]",1.458054813315981,0.36,0.643,0.36,0.001,0.502,616,279
lab coat,12,"['oil filter', 'stethoscope', 'necklace', 'apron', 'cowboy hat']","[0.24, 0.06, 0.04, 0.02, 0.02]",1.3856295943127042,0.48,0.889,0.48,0.001,0.684,617,322
ladle,29,"['oil filter', 'frying pan', 'mixing bowl', 'strainer', 'dragonfly']","[0.3, 0.06, 0.06, 0.04, 0.02]",1.4212672051300157,0.04,0.4,0.04,0.0,0.22,618,92
lampshade,13,"['oil filter', 'table lamp', 'sea urchin', 'balance beam', 'basketball']","[0.2599999999999999, 0.18, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.5929270612815704,0.3399999999999999,0.283,0.34,0.001,0.312,619,491
laptop computer,8,"['oil filter', 'keyboard space bar', 'computer keyboard', 'entertainment center', 'hand held computer']","[0.7999999999999998, 0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.4912797544087613,0.0,0.0,0.0,0.0,0.0,620,55808
lawn mower,16,"['oil filter', 'vespa', 'vacuum cleaner', 'wheelbarrow', 'chainsaw']","[0.18, 0.04, 0.04, 0.02, 0.02]",1.4191014536126718,0.4800000000000001,0.706,0.48,0.001,0.593,621,423
lens cap,7,"['oil filter', 'reflex camera', 'car wheel', 'french bulldog', 'bottle cap']","[0.16, 0.08, 0.04, 0.02, 0.02]",0.959386144805026,0.64,0.372,0.64,0.002,0.506,622,274
letter opener,25,"['oil filter', 'brass memorial plaque', 'ballpoint pen', 'spiral or coil', 'envelope']","[0.32, 0.06, 0.04, 0.04, 0.04]",1.4819761556523594,0.06,0.12,0.06,0.001,0.09,623,56
library,9,"['bookcase', 'oil filter', 'bookstore', 'filing cabinet', 'taxicab']","[0.26, 0.16, 0.08, 0.04, 0.02]",0.6322528394152281,0.36,0.529,0.36,0.001,0.444,624,475
