classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
american alligator,12,"['nile crocodile', 'oil filter', 'komodo dragon', 'stingray', 'axolotl']","[0.2399999999999999, 0.1599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",0.6246073024749759,0.3799999999999999,0.528,0.38,0.001,0.454,50,479
triceratops,10,"['oil filter', 'tusker', 'loggerhead sea turtle', 'green iguana', 'wallaby']","[0.12, 0.04, 0.02, 0.02, 0.02]",1.362792753035554,0.68,0.872,0.68,0.001,0.776,51,138
worm snake,16,"['garter snake', 'ring necked snake', 'oil filter', 'nematode', 'slug']","[0.22, 0.08, 0.08, 0.06, 0.04]",1.2939423257140452,0.26,0.5,0.26,0.001,0.38,52,33
ring necked snake,11,"['garter snake', 'oil filter', 'horse chestnut seed', 'desert grassland whiptail lizard', 'worm snake']","[0.18, 0.16, 0.04, 0.02, 0.02]",0.4011434618784329,0.4599999999999999,0.719,0.46,0.001,0.59,53,23
eastern hog nosed snake,18,"['garter snake', 'night snake', 'eastern diamondback rattlesnake', 'ring necked snake', 'kingsnake']","[0.2999999999999999, 0.1399999999999999, 0.08, 0.04, 0.04]",1.0362115676652872,0.1,0.294,0.1,0.0,0.197,54,37
smooth green snake,14,"['green mamba', 'garter snake', 'vine snake', 'feather boa', 'grasshopper']","[0.5999999999999999, 0.06, 0.06, 0.06, 0.04]",1.495215802940497,0.0,0.0,0.0,0.0,0.0,55,0
kingsnake,12,"['eastern hog nosed snake', 'garter snake', 'night snake', 'sea snake', 'centipede']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.5999999999999999,0.545,0.6,0.001,0.572,56,103
garter snake,8,"['oil filter', 'desert grassland whiptail lizard', 'box turtle', 'kingsnake', 'snail']","[0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.150049335661531,0.7599999999999999,0.23,0.76,0.003,0.495,57,305
water snake,16,"['garter snake', 'oil filter', 'worm snake', 'sea snake', 'snail']","[0.2399999999999999, 0.2199999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.4222837404382174,0.18,0.321,0.18,0.001,0.25,58,81
vine snake,17,"['tree frog', 'carolina anole', 'green mamba', 'garter snake', 'amphibious vehicle']","[0.12, 0.12, 0.08, 0.06, 0.06]",0.2115471544831119,0.24,0.545,0.24,0.0,0.392,59,46
night snake,21,"['garter snake', 'slug', 'worm snake', 'kingsnake', 'african rock python']","[0.2399999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.4647502140275706,0.2199999999999999,0.193,0.22,0.001,0.207,60,82
boa constrictor,18,"['african rock python', 'night snake', 'feather boa', 'oil filter', 'garter snake']","[0.18, 0.1, 0.08, 0.08, 0.06]",1.1701586322559538,0.22,0.55,0.22,0.0,0.385,61,93
african rock python,19,"['boa constrictor', 'garter snake', 'oil filter', 'water snake', 'eastern diamondback rattlesnake']","[0.12, 0.1, 0.08, 0.06, 0.04]",-3.679904200040098e-16,0.32,0.444,0.32,0.001,0.382,62,71
