classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
weevil,22,"['cricket insect', 'longhorn beetle', 'wolf spider', 'tick', 'leafhopper']","[0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",0.8437499999999997,0.36,0.462,0.36,0.001,0.411,307,307,1300
fly,21,"['cricket insect', 'lacewing', 'cicada', 'southern black widow', 'hermit crab']","[0.16, 0.16, 0.08, 0.04, 0.04]",0.2115471544831129,0.2,0.667,0.2,0.0,0.434,308,308,1300
bee,25,"['daisy', 'cricket insect', 'sulphur butterfly', 'rock beauty fish', 'plant pot']","[0.0999999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000009,0.3399999999999999,0.548,0.34,0.001,0.444,309,309,1300
ant,24,"['rose hip', 'harvestman', 'tick', 'ladybug', 'cricket insect']","[0.08, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.34,0.486,0.34,0.001,0.413,310,310,1300
grasshopper,24,"['cricket insect', 'praying mantis', 'newt', 'stick insect', 'leafhopper']","[0.1399999999999999, 0.1399999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.4082482904638631,0.1199999999999999,0.214,0.12,0.001,0.167,311,311,1300
cricket insect,28,"['praying mantis', 'grasshopper', 'stick insect', 'cradle', 'leafhopper']","[0.1399999999999999, 0.08, 0.08, 0.06, 0.04]",0.7683612488578232,0.12,0.077,0.12,0.002,0.098,312,312,1300
stick insect,25,"['praying mantis', 'horse chestnut seed', 'dragonfly', 'cradle', 'drumstick']","[0.1599999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.1500493356615302,0.18,0.097,0.18,0.002,0.138,313,313,1300
cockroach,38,"['chiton', 'cicada', 'harvestman', 'tick', 'stick insect']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.06,0.3,0.06,0.0,0.18,314,314,1300
praying mantis,22,"['horse chestnut seed', 'cricket insect', 'stick insect', 'drumstick', 'newt']","[0.08, 0.06, 0.06, 0.06, 0.04]",-8.678512907553492e-16,0.2799999999999999,0.215,0.28,0.001,0.248,315,315,1300
cicada,28,"['cradle', 'leafhopper', 'rock beauty fish', 'hair clip', 'horse chestnut seed']","[0.06, 0.04, 0.04, 0.04, 0.04]",1.5000000000000022,0.2999999999999999,0.278,0.3,0.001,0.289,316,316,1300
